2012-08-04 00:57:40 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:57:40 Debug: opcion 1008 almacenada en, Opciones por->
2012-08-04 00:58:36 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:58:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 01:07:22 Notice: Notice (8): Undefined offset:  1009 in [/var/www/html/italica/app/controllers/opciones_controller.php, line 80]
2012-08-04 01:08:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 01:08:31 Debug: opcion 1009 almacenada en, Opciones por->
2012-08-04 01:08:35 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 01:08:36 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1001 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1005 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1006 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1007 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1008 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1009 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 148]
2012-08-04 02:16:02 Debug: Quitar opciones a rol->id_rol->1 id_op-> usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1001 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
